,ID_ESCUELA,NOMBRE_ESCUELA
3722,716,JOS MA. MORELOS Y PAVàN
3723,755,COBAEP PLANTEL 3
3724,959,CRISTOBAL COLàN
3725,716,JOS MA. MORELOS Y PAVàN
3726,1109,INST. IBERIA A.C.
3727,790,COBACH PLANTEL 13
3728,1259,LICEO SERDAN
3729,492,INST. NORMAL QUEVEDO
3730,778,COBAEP PLANTEL 26
3731,1109,INST. IBERIA A.C.
3732,836,COBAT PLANTEL 05
3733,502,INST. VEL A.C
3734,959,CRISTOBAL COLàN
3735,915,LIC. BENITO JUµREZ GARCÖA
3736,498,INST. SALVADOR ALLENDE
3737,911,EMILIANO ZAPATA SALAZAR
3738,754,COBAEP PLANTEL 2
3739,773,COBAEP PLANTEL 21
3740,754,COBAEP PLANTEL 2
3741,436,COLEGIO NACIONAL
3742,523,LICEO BRITµNICO DE MXICO A.C.
3743,436,COLEGIO NACIONAL
3744,494,INST. ORIENTE DE PUEBLA A.C.
3745,911,EMILIANO ZAPATA SALAZAR
3746,434,COLEGIO MEXICANO
3747,494,INST. ORIENTE DE PUEBLA A.C.
3748,1220,ABIERTA
3749,915,LIC. BENITO JUµREZ GARCÖA
3750,1417,INST BENEVENTE
3751,413,COLEGIO CULTURAL A.C. PLANTEL 1
3752,525,LICEO CULTURAL MEXICANO
3753,767,COBAEP PLANTEL 15
3754,767,COBAEP PLANTEL 15
3755,561,UNIVERSIDAD REALISTICA DE MEXICO
3756,1418,BACHILLERATO ISABEL LA CATOLICA
3757,643,CECYTE PLANTEL 05
3758,773,COBAEP PLANTEL 21
3759,447,ENRIQUE MARTÖNEZ MµRQUEZ
3760,910,ALFONSO CALDERàN MORENO
3761,719,NI¥OS HROES DE CHAPULTEPEC
3762,716,JOS MA. MORELOS Y PAVàN
3763,755,COBAEP PLANTEL 3
3764,1078,INTITUTO SALVADOR ALLENDE  A.C
3765,685,CBTIS PLANTEL NO. 44
3766,1419,COBACH PLANTEL 14
3767,911,EMILIANO ZAPATA SALAZAR
3768,742,CETIS PLANTEL NO. 104
3769,915,LIC. BENITO JUµREZ GARCÖA
3770,861,CONALEP PLANTEL NO. 3
3771,1420,COLEGIO JUAN ESCUTIA
3772,1324,COBACH 1
3773,36,UNIVERSIDAD DEL VALLE DE MXICO
3774,476,INST. DE INVESTIGACIàN Y ENSE¥ANZA IBEROAMERICANA
3775,512,JOS MARÖA LAFRAGUA
3776,1259,LICEO SERDAN
3777,1259,LICEO SERDAN
3778,1421,"ESCUELA DE BACHILLERES ""VERACRUZ"""
3779,1143,BINE
3780,512,JOS MARÖA LAFRAGUA
3781,1049,PREP. FED. HEROES DEL 5 DE MAYO
3782,913,ENRIQUE CABRERA BARROSO (URBANA)
3783,1143,BINE
3784,184,JUAN ESCUTIA
3785,1266,LICEO CULTURAL MEXICANO
3786,439,COLEGIO SAN CARLOS DE PUEBLA A.C.
3787,913,ENRIQUE CABRERA BARROSO (URBANA)
3788,421,COLEGIO HISPANO INGLS DE ORIENTE
3789,773,COBAEP PLANTEL 21
3790,809,COBAEM PLANTEL 7
3791,753,COBAEP PLANTEL 1
3792,1266,LICEO CULTURAL MEXICANO
3793,914,GRAL. LµZARO CµRDENAS DEL RÖO
3794,915,LIC. BENITO JUµREZ GARCÖA
3795,766,COBAEP PLANTEL 14
3796,913,ENRIQUE CABRERA BARROSO (URBANA)
3797,698,CBTIS PLANTEL NO. 3
3798,1114,"PREP. DE OCCIDENTE DE PUEBLA, A.C."
3799,914,GRAL. LµZARO CµRDENAS DEL RÖO
3800,413,COLEGIO CULTURAL A.C. PLANTEL 1
3801,655,CBTIS PLANTEL NO. 134
3802,655,CBTIS PLANTEL NO. 134
3803,816,COBAO PLANTEL 2
3804,914,GRAL. LµZARO CµRDENAS DEL RÖO
3805,667,CBTIS PLANTEL NO. 194
3806,716,JOS MA. MORELOS Y PAVàN
3807,413,COLEGIO CULTURAL A.C. PLANTEL 1
3808,730,PROF. GREGORIO DE GANTE
3809,860,CONALEP PLANTEL NO. 2
3810,818,COBAO PLANTEL 6
3811,523,LICEO BRITµNICO DE MXICO A.C.
3812,909,2 DE OCTUBRE DE 1968
3813,913,ENRIQUE CABRERA BARROSO (URBANA)
3814,730,PROF. GREGORIO DE GANTE
3815,913,ENRIQUE CABRERA BARROSO (URBANA)
3816,716,JOS MA. MORELOS Y PAVàN
3817,716,JOS MA. MORELOS Y PAVàN
3818,773,COBAEP PLANTEL 21
3819,909,2 DE OCTUBRE DE 1968
3820,698,CBTIS PLANTEL NO. 3
3821,1420,COLEGIO JUAN ESCUTIA
3822,1422,INSTITUTO HEREDIA
3823,698,CBTIS PLANTEL NO. 3
3824,742,CETIS PLANTEL NO. 104
3825,646,CECYTE PLANTEL 08
3826,909,2 DE OCTUBRE DE 1968
3827,909,2 DE OCTUBRE DE 1968
3828,421,COLEGIO HISPANO INGLS DE ORIENTE
3829,71,CENTRO CULTURAL PACELLI
3830,915,LIC. BENITO JUµREZ GARCÖA
3831,684,CBTIS PLANTEL NO. 260
3832,447,ENRIQUE MARTÖNEZ MµRQUEZ
3833,1243,INSTITUTO WASHINGTON
3834,837,COBAT PLANTEL 06
3835,915,LIC. BENITO JUµREZ GARCÖA
3836,265,NICOLAS REYES ALEGRE
3837,915,LIC. BENITO JUµREZ GARCÖA
3838,915,LIC. BENITO JUµREZ GARCÖA
3839,730,PROF. GREGORIO DE GANTE
3840,1423,UNIVERSIDAD TECMILENIO
3841,447,ENRIQUE MARTÖNEZ MµRQUEZ
3842,504,INST. WASHINGTON A.C.
3843,719,NI¥OS HROES DE CHAPULTEPEC
3844,767,COBAEP PLANTEL 15
3845,860,CONALEP PLANTEL NO. 2
3846,1424,INEM
3847,1425,INSTITUTO CENTRAL DE MEXICO
3848,697,CBTIS PLANTEL NO. 212
3849,807,COBAEM PLANTEL 3
3850,861,CONALEP PLANTEL NO. 3
3851,910,ALFONSO CALDERàN MORENO
3852,742,CETIS PLANTEL NO. 104
3853,515,JUAN CRISOSTOMO BONILLA
3854,188,HROES DE PUEBLA
3855,1235,APARICIO
3856,1095,CENTRO ESCOLAR APARICIO A.C.
3857,181,HERMANOS SERDAN
3858,151,OCTAVIO PAZ LOZANO
3859,832,COBAT PLANTEL 01
3860,698,CBTIS PLANTEL NO. 3
3861,497,INST. RIEMANN DE MXICO
3862,773,COBAEP PLANTEL 21
3863,773,COBAEP PLANTEL 21
3864,1032,INST. MEXICANO MADERO U. TOLEDO
3865,742,CETIS PLANTEL NO. 104
3866,485,INST. JUAN PONCE DE LEàN
3867,659,CBTIS PLANTEL NO. 56
3868,1426,HUAMUXTITLAN GUERRERO
3869,1324,COBACH 1
3870,1146,INSTITUTO ORIENTE
3871,388,BENAVENTE
3872,773,COBAEP PLANTEL 21
3873,684,CBTIS PLANTEL NO. 260
3874,773,COBAEP PLANTEL 21
3875,1140,COLEGIO LA PAZ
3876,288,CENTRO DE ESTUDIOS INTENSIVOS CEI
3877,1235,APARICIO
3878,719,NI¥OS HROES DE CHAPULTEPEC
3879,913,ENRIQUE CABRERA BARROSO (URBANA)
3880,581,CBTA PLANTEL NO. 129
3881,758,COBAEP PLANTEL 6
3882,457,FEDERICA M. BONILLA
3883,758,COBAEP PLANTEL 6
3884,571,BENEMRITO INSTITUTO NORMAL DEL ESTADO
3885,915,LIC. BENITO JUµREZ GARCÖA
3886,403,CENTRO EDUCATIVO DE PUEBLA
3887,1297,INSTITUTO CALMECAC CEOMEYELLI
3888,684,CBTIS PLANTEL NO. 260
3889,745,CETIS PLANTEL NO. 67
3890,473,INST. CULTURAL REFORMA
3891,778,COBAEP PLANTEL 26
3892,773,COBAEP PLANTEL 21
3893,1427,MONSERRAT
3894,512,JOS MARÖA LAFRAGUA
3895,19,COLEGIO SIMON BOLIVAR
3896,1358,CARLOS CAMACHO ESPIRITU
3897,390,BENJAMIN KURIAN
3898,1428,CBTA 193 EL PE¥ON
3899,1429,HISPANO MEXICANO
3900,1430,INST DE ESTUDIOS CONTABLES Y FISCALES
3901,915,LIC. BENITO JUµREZ GARCÖA
3902,463,INST. ALABAMA
3903,294,INST. JUµREZ LINCOLN
3904,914,GRAL. LµZARO CµRDENAS DEL RÖO
3905,913,ENRIQUE CABRERA BARROSO (URBANA)
3906,1174,COBAO PLANTEL 26
3907,181,HERMANOS SERDAN
3908,913,ENRIQUE CABRERA BARROSO (URBANA)
3909,1134,MARIE CURIE
3910,914,GRAL. LµZARO CµRDENAS DEL RÖO
3911,719,NI¥OS HROES DE CHAPULTEPEC
3912,915,LIC. BENITO JUµREZ GARCÖA
3913,806,COBAEM PLANTEL 2
3914,1431,UNIVERSIDAD DE LA JURISPRUDENCIA Y HUMANIDADES
3915,1116,PROFR. DELFINO CARVAJAL MORENO A.C.
3916,806,COBAEM PLANTEL 2
3917,743,CETIS PLANTEL NO. 151
3918,915,LIC. BENITO JUµREZ GARCÖA
3919,1432,CUED
3920,1138,UNIVERSIDAD REALISTICA DE MEXICO
3921,723,PDTE. GUSTAVO DIAZ ORDAZ
3922,909,2 DE OCTUBRE DE 1968
3923,560,UNIVERSIDAD INTERAMERICANA A.C.
3924,915,LIC. BENITO JUµREZ GARCÖA
3925,818,COBAO PLANTEL 6
3926,411,COLEGIO AZTECA A.C.
3927,510,JOS IGNACIO MµRQUEZ
3928,772,COBAEP PLANTEL 20
3929,188,HROES DE PUEBLA
3930,754,COBAEP PLANTEL 2
3931,818,COBAO PLANTEL 6
3932,181,HERMANOS SERDAN
3933,917,UNIDAD REGIONAL LIBRES
3934,910,ALFONSO CALDERàN MORENO
3935,914,GRAL. LµZARO CµRDENAS DEL RÖO
3936,694,CBTIS PLANTEL NO. 153
3937,1309,INSTITUTO ZARAGOZA
3938,697,CBTIS PLANTEL NO. 212
3939,767,COBAEP PLANTEL 15
3940,559,UNIVERSIDAD DEL VALLE DE PUEBLA
3941,840,COBAT PLANTEL 10
3942,765,COBAEP PLANTEL 13
3943,915,LIC. BENITO JUµREZ GARCÖA
3944,723,PDTE. GUSTAVO DIAZ ORDAZ
3945,723,PDTE. GUSTAVO DIAZ ORDAZ
3946,723,PDTE. GUSTAVO DIAZ ORDAZ
3947,723,PDTE. GUSTAVO DIAZ ORDAZ
3948,835,COBAT PLANTEL 04
3949,767,COBAEP PLANTEL 15
3950,1214,OCTAVIO PAZ
3951,1433,PREPARATORIA HISPANOMEXICANA
3952,716,JOS MA. MORELOS Y PAVàN
3953,723,PDTE. GUSTAVO DIAZ ORDAZ
3954,755,COBAEP PLANTEL 3
3955,914,GRAL. LµZARO CµRDENAS DEL RÖO
3956,742,CETIS PLANTEL NO. 104
3957,1434,HISPANO MEXICANA A.C.
3958,723,PDTE. GUSTAVO DIAZ ORDAZ
3959,915,LIC. BENITO JUµREZ GARCÖA
3960,767,COBAEP PLANTEL 15
3961,767,COBAEP PLANTEL 15
3962,1273,COLEGIO EUROPEO
3963,1098,COLEGIO CENTRAL A.C.
3964,857,CONALEP PLANTEL NO. 1
3965,391,BLAS CHUMACERO SµNCHEZ
3966,667,CBTIS PLANTEL NO. 194
3967,188,HROES DE PUEBLA
3968,388,BENAVENTE
3969,684,CBTIS PLANTEL NO. 260
3970,915,LIC. BENITO JUµREZ GARCÖA
3971,200,QUETZALCOATL
3972,524,LICEO CARLOS FUENTES
3973,1224,UNIVERSIDAD DE GUERRERO
3974,915,LIC. BENITO JUµREZ GARCÖA
3975,57,SOR JUANA INES DE LA CRUZ
3976,913,ENRIQUE CABRERA BARROSO (URBANA)
3977,913,ENRIQUE CABRERA BARROSO (URBANA)
3978,487,INST. LA PAZ DE PUEBLA A.C.
3979,288,CENTRO DE ESTUDIOS INTENSIVOS CEI
3980,512,JOS MARÖA LAFRAGUA
3981,413,COLEGIO CULTURAL A.C. PLANTEL 1
3982,1435,BACHILLERATO INVIA
3983,1007,AMRICA
3984,753,COBAEP PLANTEL 1
3985,773,COBAEP PLANTEL 21
3986,1114,"PREP. DE OCCIDENTE DE PUEBLA, A.C."
3987,753,COBAEP PLANTEL 1
3988,754,COBAEP PLANTEL 2
3989,512,JOS MARÖA LAFRAGUA
3990,753,COBAEP PLANTEL 1
3991,525,LICEO CULTURAL MEXICANO
3992,492,INST. NORMAL QUEVEDO
3993,1436,NORMAL SUPERIOR DEL ESTADO
3994,915,LIC. BENITO JUµREZ GARCÖA
3995,523,LICEO BRITµNICO DE MXICO A.C.
3996,1437,CEB ANGEL SAQUI DEL ANGEL
3997,766,COBAEP PLANTEL 14
3998,1280,INSTITUTO  TAPACHULA
3999,1143,BINE
4000,719,NI¥OS HROES DE CHAPULTEPEC
4001,498,INST. SALVADOR ALLENDE
4002,910,ALFONSO CALDERàN MORENO
4003,397,CARMEN SERDµN
4004,910,ALFONSO CALDERàN MORENO
4005,569,VICENTE SUµREZ FERRER
4006,144,COLEGIO BENAVENTE
