,ID_ESTADO,NOMBRE_ESTADO,ID_PAIS
5471,21,PUEBLA,1
5472,21,PUEBLA,1
5473,21,PUEBLA,1
5474,29,TLAXCALA,1
5475,21,PUEBLA,1
5476,21,PUEBLA,1
5477,29,TLAXCALA,1
5478,21,PUEBLA,1
5479,21,PUEBLA,1
5480,21,PUEBLA,1
5481,21,PUEBLA,1
5482,21,PUEBLA,1
5483,21,PUEBLA,1
5484,21,PUEBLA,1
5485,21,PUEBLA,1
5486,21,PUEBLA,1
5487,21,PUEBLA,1
5488,15,MEXICO,1
5489,21,PUEBLA,1
5490,21,PUEBLA,1
5491,21,PUEBLA,1
5492,21,PUEBLA,1
5493,21,PUEBLA,1
5494,21,PUEBLA,1
5495,21,PUEBLA,1
5496,21,PUEBLA,1
5497,21,PUEBLA,1
5498,21,PUEBLA,1
5499,21,PUEBLA,1
5500,21,PUEBLA,1
5501,21,PUEBLA,1
5502,21,PUEBLA,1
5503,21,PUEBLA,1
5504,21,PUEBLA,1
5505,21,PUEBLA,1
5506,21,PUEBLA,1
5507,21,PUEBLA,1
5508,21,PUEBLA,1
5509,21,PUEBLA,1
5510,21,PUEBLA,1
5511,29,TLAXCALA,1
5512,21,PUEBLA,1
5513,21,PUEBLA,1
5514,21,PUEBLA,1
5515,29,TLAXCALA,1
5516,21,PUEBLA,1
5517,21,PUEBLA,1
5518,21,PUEBLA,1
5519,29,TLAXCALA,1
5520,21,PUEBLA,1
5521,21,PUEBLA,1
5522,21,PUEBLA,1
5523,21,PUEBLA,1
5524,21,PUEBLA,1
5525,21,PUEBLA,1
5526,21,PUEBLA,1
5527,21,PUEBLA,1
5528,21,PUEBLA,1
5529,21,PUEBLA,1
5530,21,PUEBLA,1
5531,21,PUEBLA,1
5532,21,PUEBLA,1
5533,21,PUEBLA,1
5534,21,PUEBLA,1
5535,21,PUEBLA,1
5536,21,PUEBLA,1
5537,29,TLAXCALA,1
5538,29,TLAXCALA,1
5539,21,PUEBLA,1
5540,29,TLAXCALA,1
